20140507-OFFICE	85	6640	14490	680	3885	8395	34175
20140508-OFFICE	525	2265	7610	4060	825	7400	22685
20140509-OFFICE	255	2565	1195	1630	3220	24230	33095
20140512-OFFICE	185	1720	17565	3075	1180	8540	32265
20140513-OFFICE	90	1775	15760	2160	8570	9315	37670
20140514-OFFICE	235	1130	10090	5115	11745	13420	41735
20140515-OFFICE	115	2775	15720	2965	1505	7025	30105
20140516-OFFICE	70	1405	14435	1030	675	11415	29030
20140517-OFFICE		900					900
20140518-OFFICE		660					660
20140519-OFFICE	90	2895	13535	1720	1885	8355	28480
20140520-OFFICE	75	1430	9715	2345	675	10225	24465
20140521-OFFICE	390	1165	2440	2750	135	2200	9080
20140523-OFFICE	460	1275	14995	1025	310	12460	30525
20140524-OFFICE		300					300
20140525-OFFICE		750					750
20140526-OFFICE	280	3660	18135	2675	1300	12560	38610
20140527-OFFICE	125	1030	10010	3000	3755	13190	31110
20140528-OFFICE	50	1315	11725	3655	895	17575	35215
20140529-OFFICE	205	1375	10145	2860	1045	10200	25830
20140530-OFFICE	465	1635	8905	1870	6675	15870	35420
20140531-OFFICE		1445					1445

